reference,candidate,domain,metric,excluded_machine_type,excluded_section,retained_machine_sections,full_mean_delta,leave_one_out_mean_delta,deviation_from_full,sign_matches_full
B00,B01,source,pauc_max_fpr_0_1,bearingEmu,section_00,6,0.007518796992481187,0.008070175438596458,0.0005513784461152714,True
B00,B01,source,pauc_max_fpr_0_1,fan,section_00,6,0.007518796992481187,-9.25185853854297e-18,-0.0075187969924811965,False
B00,B01,source,pauc_max_fpr_0_1,gearboxEmu,section_00,6,0.007518796992481187,0.0035087719298245446,-0.004010025062656642,True
B00,B01,source,pauc_max_fpr_0_1,sliderEmu,section_00,6,0.007518796992481187,0.004210526315789452,-0.003308270676691735,True
B00,B01,source,pauc_max_fpr_0_1,valveEmu,section_00,6,0.007518796992481187,0.022456140350877184,0.014937343358395997,True
B00,B01,target,auc,ToyCar,section_00,6,-0.02034285714285718,-0.028600000000000042,-0.008257142857142862,True
B00,B01,target,auc,ToyCarEmu,section_00,6,-0.02034285714285718,-0.004200000000000047,0.016142857142857132,True
B00,B01,target,auc,bearingEmu,section_00,6,-0.02034285714285718,-0.03973333333333335,-0.01939047619047617,True
B00,B01,target,auc,fan,section_00,6,-0.02034285714285718,-0.0064000000000000445,0.013942857142857135,True
B00,B01,target,auc,gearboxEmu,section_00,6,-0.02034285714285718,-0.02353333333333336,-0.003190476190476181,True
B00,B01,target,auc,sliderEmu,section_00,6,-0.02034285714285718,-0.02520000000000004,-0.0048571428571428585,True
B00,B01,target,auc,valveEmu,section_00,6,-0.02034285714285718,-0.014733333333333367,0.0056095238095238125,True
B00,B01,target,pauc_max_fpr_0_1,ToyCar,section_00,6,-0.0213533834586466,-0.02491228070175437,-0.0035588972431077684,True
B00,B01,target,pauc_max_fpr_0_1,ToyCarEmu,section_00,6,-0.0213533834586466,-0.0073684210526315614,0.013984962406015038,True
B00,B01,target,pauc_max_fpr_0_1,bearingEmu,section_00,6,-0.0213533834586466,-0.025964912280701746,-0.004611528822055146,True
B00,B01,target,pauc_max_fpr_0_1,fan,section_00,6,-0.0213533834586466,-0.02210526315789472,-0.0007518796992481216,True
B00,B01,target,pauc_max_fpr_0_1,gearboxEmu,section_00,6,-0.0213533834586466,-0.02491228070175437,-0.0035588972431077684,True
B00,B01,target,pauc_max_fpr_0_1,sliderEmu,section_00,6,-0.0213533834586466,-0.025614035087719273,-0.004260651629072673,True
