reference,candidate,machine_type,section,domain,metric,observed_reference,observed_candidate,observed_delta,bootstrap_mean_delta,ci95_low,ci95_high,probability_delta_gt_zero,iterations,seed
B00,B01,valveEmu,section_00,source,auc,0.7603999999999999,0.4948,-0.26559999999999984,-0.2633436,-0.36801000000000006,-0.16079999999999994,0.0,2000,2026
B00,B01,valveEmu,section_00,source,pauc_max_fpr_0_1,0.5621052631578948,0.48,-0.08210526315789479,-0.08896315789473686,-0.1979473684210527,-0.006315789473684219,0.004,2000,2026
B00,B01,valveEmu,section_00,target,auc,0.654,0.6,-0.05400000000000005,-0.054599800000000004,-0.14039999999999997,0.0256299999999999,0.0895,2000,2026
B00,B01,valveEmu,section_00,target,pauc_max_fpr_0_1,0.5557894736842105,0.5178947368421053,-0.0378947368421052,-0.03647578947368422,-0.09894736842105267,0.021052631578947323,0.095,2000,2026
B00,B02,ToyCar,section_00,all,auc,0.5576,0.5728,0.015199999999999991,0.01528540000000001,-0.00460500000000005,0.03590500000000001,0.931,2000,2026
B00,B02,ToyCar,section_00,all,pauc_max_fpr_0_1,0.5442105263157895,0.5373684210526316,-0.006842105263157872,-0.006061052631578947,-0.026315789473684292,0.01210526315789473,0.257,2000,2026
B00,B02,ToyCar,section_00,source,auc,0.554,0.5736000000000001,0.019600000000000062,0.019405599999999995,-0.015600000000000058,0.05361999999999998,0.8655,2000,2026
B00,B02,ToyCar,section_00,source,pauc_max_fpr_0_1,0.4968421052631579,0.5094736842105263,0.012631578947368383,0.01366842105263158,-0.004210526315789442,0.0463157894736842,0.8225,2000,2026
B00,B02,ToyCar,section_00,target,auc,0.6387999999999999,0.646,0.007200000000000095,0.0076836000000000005,-0.036799999999999944,0.05161000000000004,0.6445,2000,2026
B00,B02,ToyCar,section_00,target,pauc_max_fpr_0_1,0.5578947368421052,0.5578947368421052,0.0,-0.004970526315789475,-0.052631578947368474,0.02947368421052632,0.4355,2000,2026
B00,B02,ToyCarEmu,section_00,all,auc,0.6961999999999999,0.6887999999999999,-0.007400000000000073,-0.007756499999999996,-0.03170249999999995,0.01650000000000007,0.248,2000,2026
B00,B02,ToyCarEmu,section_00,all,pauc_max_fpr_0_1,0.611578947368421,0.5684210526315789,-0.04315789473684206,-0.039622368421052635,-0.08106578947368422,-0.000526315789473708,0.021,2000,2026
B00,B02,ToyCarEmu,section_00,source,auc,0.6204000000000001,0.6188,-0.0016000000000000458,-0.0007557999999999982,-0.039999999999999813,0.03641000000000004,0.505,2000,2026
B00,B02,ToyCarEmu,section_00,source,pauc_max_fpr_0_1,0.5515789473684211,0.5494736842105263,-0.002105263157894721,-0.0016621052631578944,-0.0463157894736842,0.037894736842105314,0.452,2000,2026
B00,B02,ToyCarEmu,section_00,target,auc,0.858,0.8076,-0.0504,-0.050517200000000005,-0.08961000000000001,-0.013600000000000056,0.004,2000,2026
B00,B02,ToyCarEmu,section_00,target,pauc_max_fpr_0_1,0.6294736842105263,0.5726315789473684,-0.056842105263157916,-0.06226421052631578,-0.1389473684210526,0.002105263157894724,0.0275,2000,2026
B00,B02,bearingEmu,section_00,all,auc,0.5979,0.5987,0.0008000000000000229,0.0011002999999999996,-0.01270249999999993,0.01550000000000007,0.5595,2000,2026
B00,B02,bearingEmu,section_00,all,pauc_max_fpr_0_1,0.5957894736842105,0.596842105263158,0.001052631578947416,0.00021078947368421047,-0.008947368421052704,0.010000000000000009,0.474,2000,2026
B00,B02,bearingEmu,section_00,source,auc,0.6199999999999999,0.6176,-0.0023999999999998467,-0.0020485999999999985,-0.023600000000000065,0.020410000000000133,0.415,2000,2026
B00,B02,bearingEmu,section_00,source,pauc_max_fpr_0_1,0.5852631578947368,0.5789473684210527,-0.0063157894736841635,-0.005218947368421054,-0.027368421052631597,0.01684210526315788,0.222,2000,2026
B00,B02,bearingEmu,section_00,target,auc,0.5800000000000001,0.5796000000000001,-0.00039999999999995595,-0.000240400000000002,-0.020009999999999962,0.019609999999999895,0.491,2000,2026
B00,B02,bearingEmu,section_00,target,pauc_max_fpr_0_1,0.6147368421052631,0.6168421052631579,0.002105263157894721,-5.36842105263155e-05,-0.01473684210526316,0.012631578947368438,0.399,2000,2026
B00,B02,fan,section_00,all,auc,0.5505,0.5489999999999999,-0.0015000000000000568,-0.001609599999999997,-0.01420249999999999,0.011700000000000044,0.4055,2000,2026
B00,B02,fan,section_00,all,pauc_max_fpr_0_1,0.533157894736842,0.5352631578947369,0.002105263157894832,0.00174684210526316,-0.008947368421052593,0.013171052631578915,0.5925,2000,2026
B00,B02,fan,section_00,source,auc,0.6292,0.6296,0.00040000000000006697,0.0004286000000000006,-0.0212,0.022399999999999975,0.508,2000,2026
B00,B02,fan,section_00,source,pauc_max_fpr_0_1,0.5915789473684211,0.5894736842105264,-0.002105263157894721,-0.004717894736842107,-0.029526315789473682,0.01473684210526316,0.277,2000,2026
B00,B02,fan,section_00,target,auc,0.46359999999999996,0.46119999999999994,-0.0024000000000000132,-0.002500199999999996,-0.02041000000000008,0.017199999999999993,0.3695,2000,2026
B00,B02,fan,section_00,target,pauc_max_fpr_0_1,0.5094736842105263,0.5073684210526316,-0.002105263157894721,-0.0010652631578947369,-0.016894736842105355,0.01684210526315788,0.3415,2000,2026
B00,B02,gearboxEmu,section_00,all,auc,0.592,0.5901000000000001,-0.0018999999999999018,-0.002089600000000002,-0.02039999999999987,0.016100000000000007,0.413,2000,2026
B00,B02,gearboxEmu,section_00,all,pauc_max_fpr_0_1,0.5263157894736842,0.5378947368421052,0.011578947368421022,0.010165789473684213,-0.011052631578947425,0.03631578947368419,0.79,2000,2026
B00,B02,gearboxEmu,section_00,source,auc,0.6452,0.6208,-0.024399999999999977,-0.025224600000000003,-0.05719999999999992,0.004410000000000123,0.05,2000,2026
B00,B02,gearboxEmu,section_00,source,pauc_max_fpr_0_1,0.5810526315789474,0.5915789473684211,0.010526315789473717,0.006823157894736842,-0.027368421052631597,0.03578947368421048,0.6965,2000,2026
B00,B02,gearboxEmu,section_00,target,auc,0.562,0.5848000000000001,0.022800000000000042,0.022837600000000003,-0.0020100000000001085,0.04960000000000009,0.962,2000,2026
B00,B02,gearboxEmu,section_00,target,pauc_max_fpr_0_1,0.52,0.52,0.0,0.004465263157894738,-0.027368421052631597,0.0463157894736842,0.5225,2000,2026
B00,B02,sliderEmu,section_00,all,auc,0.5612,0.5633,0.0020999999999999908,0.0020247000000000004,-0.0131,0.0180025,0.6085,2000,2026
B00,B02,sliderEmu,section_00,all,pauc_max_fpr_0_1,0.5047368421052632,0.5052631578947369,0.000526315789473708,0.0033842105263157895,-0.011578947368421133,0.024736842105263168,0.567,2000,2026
B00,B02,sliderEmu,section_00,source,auc,0.6380000000000001,0.6368,-0.0012000000000000899,-0.001081399999999997,-0.02239999999999998,0.02079999999999993,0.4425,2000,2026
B00,B02,sliderEmu,section_00,source,pauc_max_fpr_0_1,0.5347368421052632,0.5431578947368421,0.008421052631578885,0.007031578947368421,-0.0189473684210526,0.03578947368421048,0.6775,2000,2026
B00,B02,sliderEmu,section_00,target,auc,0.486,0.48519999999999996,-0.0008000000000000229,-0.0010484,-0.022810000000000042,0.021600000000000064,0.4675,2000,2026
